idx,start_s,end_s,dur_s,group,singer,lyric,voice,pitch_dev_ct,pitch_shift_ct,raw_dbfs,static_gain_db,phrase_gain_db,net_gain_db,concurrent_voices,pan_start,pan_peak,unison_scale_db,humanize
1,6.03,7.59,1.56,🤍,鸟♀,"「やぁ、こんにちは」",kotori,30,-30,-15.6,7.0,2.7,9.6,0.91,0.00,0.00,0.0,0.00
2,7.89,11.20,3.31,🤍,鸟♂,"「こんにちは」→ 合 Ah____",kotori-male,25,,-21.7,16.4,8.8,25.2,1.48,0.00,0.00,-1.7,0.00
3,9.06,10.81,1.75,🤍,鸟♀,"合 Ah____",kotori,1610,,-13.3,7.0,0.4,7.4,1.91,0.00,0.00,-2.8,0.00
4,11.93,13.63,1.70,🤍,鸟♂,"「ねぇ、調子どう？」",kotori-male,-1230,,-19.3,16.4,6.3,22.7,0.92,0.00,0.00,0.0,0.00
5,13.87,16.68,2.81,🤍,鸟♀,"「普通かな…」→ 合 Uh____",kotori,330,,-13.7,7.0,0.8,7.7,1.52,0.00,0.00,-1.8,0.00
6,15.03,17.35,2.31,🤍,鸟♂,"合 Uh____",kotori-male,-1170,,-19.2,16.4,6.2,22.6,1.66,0.00,0.00,-2.2,0.00
7,30.35,35.32,4.97,🧡,果♀,"「花火大会が来週あるんだってね」",honoka,40,-40,-16.0,8.0,3.0,11.0,0.89,-0.00,-0.00,0.0,0.00
8,35.67,41.59,5.92,🧡,果♂,"「あーゆー人が多いの、俺は苦手なんだよな」",honoka-male,-1220,,-24.0,17.1,10.0,27.1,0.97,-0.00,-0.00,0.0,0.00
9,41.68,47.33,5.65,🧡,果♀,"「あーあ。それじゃ誰か他をあたってみっか」",honoka,10,,-16.3,8.0,3.3,11.3,0.89,-0.00,-0.00,0.0,0.00
10,47.67,53.72,6.05,🧡,果♂,"「やっぱ、楽しそうだな。結構行きたいかも」",honoka-male,-1225,,-20.5,17.1,7.5,24.6,0.91,-0.00,-0.00,0.0,0.00
11,54.07,55.54,1.47,💙,海♀,"「喉渇いたな」",umi,5,,-17.3,7.0,4.3,11.3,0.91,0.00,0.00,0.0,0.00
12,55.90,56.95,1.06,💙,海♂,"「これ飲めば？」",umi-male,100,,-17.3,16.6,4.3,20.9,0.87,0.00,0.00,0.0,0.00
13,57.42,60.31,2.89,💙,海♀,"「これっていわゆる間接KISS？」",umi,10,,-17.7,7.0,4.7,11.7,0.91,0.00,0.00,0.0,0.00
14,60.44,61.50,1.06,💙,海♂,"「意識した？」",umi-male,20,,-20.1,16.6,7.2,23.8,0.91,0.00,0.00,0.0,0.00
15,61.92,66.09,4.17,💙,海♀,"「意識した…」→ 合 喉は渇いたまんま",umi,1160,,-14.2,7.0,1.3,8.3,1.63,0.00,0.22,-2.1,0.00
16,63.02,66.02,3.00,💙,海♂,"合 喉は渇いたまんま",umi-male,0,,-15.0,16.6,2.0,18.6,1.90,0.10,0.22,-2.8,0.00
17,66.73,78.18,11.45,🤍,鸟♂,"待ってる左手にほんの少し触れてみる／繋ぎたい 繋ぎたい だけどポケットに隠れた",kotori-male,-30,30,-14.8,16.4,1.9,18.2,0.91,0.00,0.00,0.0,0.00
